序号,Title,Year,Overview,Hardware Devices,Sensing Technology,Recognition & Classification,Interaction Modalities,Gesture Types,Application Scenarios,Feedback & Output,User Experience & Design Factors
153,DigiTap-an eyes-free VR/AR symbolic input device,2014,Hardware,"#ARGlasses, #VRHeadset, #WearableSensor, #Wearables","#Accelerometer, #ComputerVision, #OpticalTracking","#FingerTracking, #GestureRecognition, #StaticGestureRecognition","#BodyContactGesture, #ContactBased","#SingleHand, #Tap, #ThumbIndex","#AR, #MediaControl, #TextInput, #VR","#HapticFeedback, #VisualFeedback","#DiscreetInput, #EyesFree, #OneHandUse, #PortableDesign, #SocialAcceptability"
154,LightRing-Always-Available 2D Input on Any Surface,2014,Hardware,"#SmartRing, #WearableSensor, #Wearables","#Gyroscope, #MotionSensor, #OpticalTracking","#ContinuousRecognition, #FingerTracking, #GestureRecognition","#ContactBased, #DirectTouch","#Flex, #SingleHand","#Navigation, #TextInput",#VisualFeedback,"#HandsFree, #HighAccuracy, #PortableDesign, #SocialAcceptability"
155,Vulture-A Mid-Air Word-Gesture Keyboard,2014,InteractionSoftware,"#Keyboard, #OtherDevices","#ComputerVision, #OpticalTracking","#ContinuousRecognition, #GestureRecognition, #HandTracking","#InAirGesture, #NonContactBased","#DirectionalGesture, #Pinch, #SingleHand","#AR, #Healthcare, #TextInput",#VisualFeedback,"#HandsFree, #QWERTYLayout, #UserAdaptation"
156,WristFlex- low-power gesture input with wrist-worn pressure sensors,2014,Hardware,"#SmartWatch, #WearableSensor, #Wearables","#Accelerometer, #PressureSensor","#GestureRecognition, #StaticGestureRecognition","#BodyContactGesture, #ContactBased","#Pinch, #SingleHand, #ThumbIndex","#AthleticActivity, #IoTControl, #SmartHome","#RealTimeFeedback, #VisualFeedback","#DiscreetInput, #HighAccuracy, #OneHandUse, #PortableDesign, #SocialAcceptability"
157,CyclopsRing- Enabling Whole-Hand and  Context-Aware Interactions Through a Fisheye Ring,2015,Hardware,"#OtherDevices, #SmartRing, #WearableSensor, #Wearables","#ComputerVision, #OpticalTracking","#DynamicGestureRecognition, #GestureRecognition, #HandTracking, #StaticGestureRecognition","#BodyContactGesture, #ContactBased, #InAirGesture, #NonContactBased","#DirectionalGesture, #Pinch, #SingleHand, #Swipe","#AR, #Gaming, #IoTControl, #SmartHome, #VR","#HapticFeedback, #VisualFeedback","#DiscreetInput, #HandsFree, #OneHandUse, #PortableDesign, #QWERTYLayout"
158,"Combining Ring Input with Hand  Tracking for Precise, Natural Interaction with Spatial Analytic Interfaces",2016,InteractionSoftware,"#ARGlasses, #SmartRing, #WearableSensor, #Wearables","#CapacitiveSensor, #ComputerVision, #DepthSensing, #IMU, #OpticalTracking","#3DPoseEstimation, #ContinuousRecognition, #GestureRecognition, #HandTracking","#ContactBased, #DirectTouch, #InAirGesture, #MultiModalInteraction, #NonContactBased","#DirectionalGesture, #Grasp/GripBased, #Pinch, #SingleHand, #Swipe, #Tap","#AR, #Navigation, #ObjectManipulation","#HapticFeedback, #RealTimeFeedback, #VisualFeedback","#HandsFree, #HighAccuracy, #LowLatency, #PortableDesign"
159,DigitSpace Designing Thumb-to-Fingers Touch Interfaces for One-Handed and Eyes-Free Interactions,2016,Gesture Design,"#SmartWatch, #WearableSensor, #Wearables","#OpticalTracking, #OtherTechnology","#DynamicGestureRecognition, #GestureRecognition, #StaticGestureRecognition","#BodyContactGesture, #ContactBased, #DirectTouch","#SingleHand, #Swipe, #Tap, #ThumbIndex","#MediaControl, #TextInput","#HapticFeedback, #VisualFeedback","#ElicitationStudy, #EyesFree, #HighAccuracy, #OneHandUse, #PortableDesign, #UserAdaptation"
160,ThumbRing- private interactions using one-handed thumb motion input on  finger segments,2016,Hardware,"#ARGlasses, #SmartGlasses, #SmartRing, #Wearables","#Accelerometer, #Gyroscope, #IMU, #Magnetometer, #MotionSensor","#3DPoseEstimation, #GestureRecognition, #MotionAnalysis, #StaticGestureRecognition","#BodyContactGesture, #ContactBased, #DirectTouch","#SingleHand, #Swipe, #Tap, #ThumbIndex","#AR, #MediaControl, #Navigation","#HapticFeedback, #VisualFeedback","#DiscreetInput, #HighAccuracy, #OneHandUse, #PortableDesign, #SocialAcceptability"
161,Interacting with Soli- Exploring Fine-Grained Dynamic  Gesture Recognition in the Radio-Frequency Spectrum,2016,InteractionSoftware,"#OtherDevices, #Wearables","#RFSensing, #RadarSensing","#ContinuousRecognition, #DynamicGestureRecognition, #GestureRecognition, #MotionAnalysis","#InAirGesture, #NonContactBased","#DirectionalGesture, #Pinch, #SingleHand, #Swipe, #Tap","#IoTControl, #MediaControl, #Navigation","#RealTimeFeedback, #VisualFeedback","#HandsFree, #HighAccuracy, #LowLatency, #OcclusionAvoidance"
162,Soli- Ubiquitous Gesture Sensing with Millimeter Wave Radar,2016,Hardware,"#OtherDevices, #SmartWatch, #VRHeadset, #Wearables","#MotionSensor, #RFSensing, #RadarSensing","#3DPoseEstimation, #ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition","#InAirGesture, #NonContactBased, #TangibleInteraction","#Pinch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#Gaming, #IoTControl, #MediaControl, #Navigation, #SmartHome, #VR","#HapticFeedback, #RealTimeFeedback, #VisualFeedback","#HandsFree, #HighAccuracy, #LowLatency, #OcclusionAvoidance, #PortableDesign, #SocialAcceptability"
163,TouchRing- Subtle and  Always-Available Input Using a Multi-Touch Ring,2016,Hardware,"#SmartGlasses, #SmartRing, #TouchScreen, #Wearables","#CapacitiveSensor, #OtherTechnology","#DynamicGestureRecognition, #GestureRecognition","#ContactBased, #DirectTouch, #MultiModalInteraction","#MultiTouch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#MediaControl, #Navigation","#HapticFeedback, #VisualFeedback","#DiscreetInput, #OneHandUse, #PortableDesign, #SocialAcceptability, #TouchOptimized"
164,DigiTouch- Reconfigurable Thumb-to-Finger Input and Text Entry on Head-mounted Displays,2017,Hardware,"#ARGlasses, #DataGloves, #VRHeadset, #WearableSensor, #Wearables","#CapacitiveSensor, #PressureSensor","#FingerTracking, #GestureRecognition","#ContactBased, #DeviceContactGesture","#Hold, #SingleHand, #Swipe, #Tap, #ThumbIndex","#AR, #TextInput, #VR","#HapticFeedback, #ProprioceptiveFeedback, #RealTimeFeedback","#DiscreetInput, #EyesFree, #HighAccuracy, #OcclusionAvoidance, #PortableDesign, #QWERTYLayout, #SocialAcceptability, #UserAdaptation"
165,FingerSound- Recognizing unistroke thumb gestures using a ring,2017,Hardware,"#SmartRing, #SmartWatch, #WearableSensor, #Wearables","#Gyroscope, #MotionSensor, #OtherTechnology","#DynamicGestureRecognition, #GestureRecognition, #MotionAnalysis","#ContactBased, #DeviceContactGesture, #MultiModalInteraction","#DirectionalGesture, #SingleHand, #Swipe, #ThumbIndex","#AR, #MediaControl, #SmartHome, #TextInput, #VR","#AudioFeedback, #HapticFeedback, #RealTimeFeedback","#DiscreetInput, #EyesFree, #HighAccuracy, #MidasTouchProblem, #PortableDesign, #SocialAcceptability"
166,Segtouch- Enhancing  touch input while providing touch gestures on screens using thumb-to-indexfinger gestures,2017,Gesture Design,"#Smartphone, #Tablet, #TouchScreen","#ComputerVision, #OpticalTracking","#FingerTracking, #GestureRecognition, #MotionAnalysis","#ContactBased, #DirectTouch, #MultiModalInteraction","#SingleHand, #Swipe, #Tap, #ThumbIndex","#Gaming, #Navigation, #TextInput","#HapticFeedback, #MultimodalFeedback, #ProprioceptiveFeedback, #VisualFeedback","#EyesFree, #OcclusionAvoidance, #OneHandUse, #SmallScreen, #TouchOptimized"
167,Skinmarks- Enabling interactions on body landmarks using conformal skin electronicsSkinmarks- Enabling interactions on body landmarks using conformal skin electronics,2017,Hardware,"#Etextile, #WearableSensor, #Wearables","#CapacitiveSensor, #OtherTechnology, #PressureSensor","#DynamicGestureRecognition, #GestureRecognition, #MotionAnalysis, #StaticGestureRecognition","#BodyContactGesture, #ContactBased, #DirectTouch, #MultiModalInteraction","#DirectionalGesture, #Hold, #SingleHand, #Swipe, #Tap","#AR, #Gaming, #Healthcare","#HapticFeedback, #MultimodalFeedback, #ProprioceptiveFeedback, #VisualFeedback","#DiscreetInput, #EyesFree, #HighAccuracy, #OneHandUse, #PortableDesign, #SocialAcceptability"
169,Fingert9- Leveraging  thumb-to-finger interaction for same-side-hand text entry on smartwatches,2018,Gesture Design,"#SmartWatch, #TouchScreen, #WearableSensor, #Wearables","#CapacitiveSensor, #PressureSensor","#FingerTracking, #GestureRecognition, #StaticGestureRecognition","#BodyContactGesture, #ContactBased, #DirectTouch","#Hold, #SingleHand, #Tap, #ThumbIndex",#TextInput,"#HapticFeedback, #RealTimeFeedback, #VisualFeedback","#ElicitationStudy, #EyesFree, #OcclusionAvoidance, #OneHandUse, #SmallScreen, #UserAdaptation"
170,ThumbText- Text Entry for Wearable Devices Using a Miniature Ring,2018,Hardware,"#SmartGlasses, #SmartRing, #SmartWatch, #TouchScreen, #Wearables","#CapacitiveSensor, #OtherTechnology","#DynamicGestureRecognition, #GestureRecognition, #StaticGestureRecognition","#ContactBased, #DirectTouch, #TangibleInteraction","#Hold, #SingleHand, #Swipe, #Tap, #ThumbIndex",#TextInput,"#AudioFeedback, #RealTimeFeedback, #VisualFeedback","#OcclusionAvoidance, #OneHandUse, #PortableDesign, #SmallScreen, #UserAdaptation"
171,Tip-tap- battery-free discrete 2D fingertip input,2019,Hardware,"#DataGloves, #WearableSensor, #Wearables","#CapacitiveSensor, #RFSensing","#FingerTracking, #StaticGestureRecognition","#BodyContactGesture, #ContactBased","#SingleHand, #Tap, #ThumbIndex","#Healthcare, #IndustryApplication, #MediaControl",#HapticFeedback,"#DiscreetInput, #EyesFree, #HandsFree, #OneHandUse, #PortableDesign, #SocialAcceptability"
173,The missing interface- Micro-gestures on augmented objects,2019,Gesture Design,"#ARGlasses, #WearableSensor, #Wearables","#RFSensing, #RadarSensing","#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#ContactBased, #DeviceContactGesture, #InAirGesture, #NonContactBased","#SingleHand, #Swipe","#AR, #IndustryApplication, #Training",#VisualFeedback,"#DiscreetInput, #OcclusionAvoidance, #OneHandUse, #PortableDesign"
174,QwertyRing- Text Entry on Physical Surfaces  Using a Ring,2020,Hardware,"#ARGlasses, #SmartRing, #VRHeadset, #WearableSensor, #Wearables","#Accelerometer, #Gyroscope, #IMU, #MotionSensor","#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #MotionAnalysis","#ContactBased, #DeviceContactGesture","#Hold, #SingleHand, #Swipe, #Tap","#AR, #SmartHome, #TextInput, #VR","#RealTimeFeedback, #VisualFeedback","#EyesFree, #OneHandUse, #PortableDesign, #QWERTYLayout, #TouchOptimized, #UserAdaptation"
175,"BiTipText- Bimanual Eyes-Free Text Entry on a Fingertip Keyboard ",2020,Hardware,"#SmartGlasses, #SmartWatch, #TouchScreen, #WearableSensor, #Wearables","#CapacitiveSensor, #MotionSensor, #OpticalTracking","#FingerTracking, #GestureRecognition, #MotionAnalysis, #StaticGestureRecognition","#ContactBased, #DirectTouch","#DualHand, #Swipe, #Tap, #ThumbIndex","#AR, #TextInput, #VR","#RealTimeFeedback, #VisualFeedback","#DiscreetInput, #EyesFree, #PortableDesign, #QWERTYLayout, #TouchOptimized, #UserAdaptation"
176,EarBuddy- Enabling On-Face Interaction via Wireless Earbuds,2020,InteractionSoftware,"#Smartphone, #WearableSensor, #Wearables","#BioSensor, #OtherTechnology","#DynamicGestureRecognition, #GestureRecognition, #StaticGestureRecognition","#BodyContactGesture, #ContactBased, #EarBasedInteraction","#SingleHand, #Swipe, #Tap","#AccessibilitySupport, #MediaControl, #SmartHome","#AudioFeedback, #VisualFeedback","#DiscreetInput, #EyesFree, #OneHandUse, #PortableDesign, #SocialAcceptability"
177,"Ready, Steady, Touch! Sensing  Physical Contact with a Finger-Mounted IMU",2020,Hardware,"#SmartWatch, #WearableSensor, #Wearables","#Accelerometer, #Gyroscope, #IMU, #Magnetometer","#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking","#BackOfDeviceInteraction, #ContactBased, #DeviceContactGesture, #TangibleInteraction","#DirectionalGesture, #SingleHand, #Swipe, #Tap, #ThumbIndex","#AR, #MediaControl, #Navigation, #SmartHome, #TextInput, #VR","#HapticFeedback, #RealTimeFeedback","#HandsFree, #HighAccuracy, #LowLatency, #PortableDesign, #SocialAcceptability, #TouchOptimized"
178,OptiRing: Low-Resolution Optical Sensing for Subtle Thumb-to-Index Input,2023,Hardware,"#SmartRing, #WearableSensor, #Wearables","#ComputerVision, #OpticalTracking, #OtherTechnology","#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#BodyContactGesture, #ContactBased, #TangibleInteraction","#Pinch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#AR, #MediaControl, #Navigation, #SmartHome, #VR","#HapticFeedback, #RealTimeFeedback","#DiscreetInput, #HighAccuracy, #LowLatency, #OneHandUse, #PortableDesign, #SocialAcceptability"
179,"Transferable Microgestures Across Hand Posture and Location Constraints: Leveraging the Middle, Ring, and Pinky Fingers",2023,Gesture Design,"#OtherDevices, #Smartphone","#MotionSensor, #OpticalTracking","#FingerTracking, #GestureRecognition, #MotionAnalysis","#BodyContactGesture, #ContactBased, #InAirGesture","#Flex, #Grasp/GripBased, #SingleHand, #Swipe","#AR, #DigitalArt, #MediaControl, #VR","#HapticFeedback, #VisualFeedback","#ElicitationStudy, #EncumberedInteraction, #OneHandUse, #SocialAcceptability, #UserAdaptation"
180,Design of 3D Microgestures for Commands in Virtual Reality or Augmented Reality,2023,Gesture Design,"#ARGlasses, #TouchScreen, #VRHeadset","#ComputerVision, #MotionSensor","#3DPoseEstimation, #FingerTracking, #GestureRecognition, #HandTracking","#InAirGesture, #MultiModalInteraction, #NonContactBased","#DirectionalGesture, #Grasp/GripBased, #Pinch, #SingleHand, #Swipe, #Tap","#AR, #Gaming, #MediaControl, #Navigation, #ObjectManipulation, #VR","#HapticFeedback, #VisualFeedback","#HandsFree, #HighAccuracy, #LowLatency, #SocialAcceptability, #UserAdaptation"
181,PinchWatch: A Wearable Device for One-Handed Microinteractions,2010,Hardware,"#SmartWatch, #WearableSensor, #Wearables","#ComputerVision, #DepthSensing, #OpticalTracking","#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking, #StaticGestureRecognition","#BodyContactGesture, #ContactBased","#DirectionalGesture, #Hold, #Pinch, #SingleHand, #Swipe, #Tap","#AthleticActivity, #MediaControl, #Navigation","#HapticFeedback, #VisualFeedback","#DiscreetInput, #EyesFree, #HandsFree, #OneHandUse, #PortableDesign"
182,"Abracadabra Wireless, High-Precision, and Unpowered Finger Input for Very Small Mobile Devices",2009,Hardware,"#SmartRing, #SmartWatch, #Wearables","#Magnetometer, #MotionSensor","#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#InAirGesture, #NonContactBased, #TangibleInteraction","#DirectionalGesture, #Flex, #Hold, #SingleHand, #Tap","#MediaControl, #Navigation, #ObjectManipulation","#RealTimeFeedback, #VisualFeedback","#HandsFree, #HighAccuracy, #PortableDesign, #SmallScreen"
183,Digits Freehand 3D Interactions Anywhere Using a Wrist-Worn Gloveless Sensor,2012,Hardware,"#SmartWatch, #WearableSensor, #Wearables","#ComputerVision, #IMU, #OpticalTracking","#3DPoseEstimation, #ContinuousRecognition, #FingerTracking, #HandTracking","#InAirGesture, #NonContactBased","#Flex, #Grasp/GripBased, #Pinch, #SingleHand","#AR, #Gaming, #MR, #ObjectManipulation, #VR","#RealTimeFeedback, #VisualFeedback","#EyesFree, #HandsFree, #HighAccuracy, #LowLatency, #PortableDesign"
184,TIMMi Finger-worn Textile Input Device with Multimodal Sensing in Mobile Interaction,2015,Hardware,"#Etextile, #SmartRing, #WearableSensor, #Wearables","#OtherTechnology, #PressureSensor","#ContinuousRecognition, #FingerTracking, #GestureRecognition","#ContactBased, #DeviceContactGesture, #MultiModalInteraction","#Flex, #SingleHand, #Swipe, #Tap, #ThumbIndex","#MediaControl, #OtherScenarios","#HapticFeedback, #RealTimeFeedback","#DiscreetInput, #EyesFree, #OneHandUse, #PortableDesign, #SocialAcceptability"
185,User-Defined Game Input for Smart Glasses in Public Space,2015,Gesture Design,#SmartGlasses,"#ComputerVision, #MotionSensor, #OpticalTracking","#FingerTracking, #GestureRecognition, #HandTracking","#BodyContactGesture, #ContactBased, #InAirGesture, #MultiModalInteraction, #NonContactBased","#DirectionalGesture, #SingleHand, #Swipe, #Tap","#AR, #Gaming","#AudioFeedback, #VisualFeedback","#DiscreetInput, #ElicitationStudy, #EyesFree, #HandsFree, #SocialAcceptability"
186,zSense Enabling Shallow Depth Gesture Recognition for Greater Input Expressivity on Smart Wearables,2015,Hardware,"#SmartGlasses, #SmartRing, #SmartWatch, #WearableSensor, #Wearables","#DepthSensing, #OtherTechnology","#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#InAirGesture, #NonContactBased","#DirectionalGesture, #Pinch, #SingleHand, #Swipe, #Tap","#MediaControl, #Navigation",#RealTimeFeedback,"#DiscreetInput, #EyesFree, #HandsFree, #HighAccuracy, #LowLatency, #OneHandUse, #PortableDesign, #SmallScreen"
187,"iSkin: Flexible, Stretchable and Visually Customizable On-Body Touch Sensors for Mobile Computing",2015,Hardware,"#SmartGlasses, #SmartRing, #SmartWatch, #WearableSensor, #Wearables","#CapacitiveSensor, #OtherTechnology, #PressureSensor","#FingerTracking, #GestureRecognition, #StaticGestureRecognition","#BodyContactGesture, #ContactBased, #DirectTouch","#MultiTouch, #Pinch, #SingleHand, #Swipe, #Tap","#MediaControl, #Navigation, #TextInput","#HapticFeedback, #RealTimeFeedback, #VisualFeedback","#DiscreetInput, #EyesFree, #HighAccuracy, #OneHandUse, #PortableDesign, #SocialAcceptability"
