Title,Application Scenarios,Feedback & Output,Gesture Types,Hardware Devices,Interaction Modalities,Overview,Recognition & Classification,Sensing Technology,User Experience & Design Factors,Year,序号
ThumbText- Text Entry for Wearable Devices Using a Miniature Ring,#TextInput,"#AudioFeedback, #RealTimeFeedback, #VisualFeedback","#Hold, #SingleHand, #Swipe, #Tap, #ThumbIndex","#SmartGlasses, #SmartRing, #SmartWatch, #TouchScreen, #Wearables","#ContactBased, #DirectTouch, #TangibleInteraction",Hardware,"#DynamicGestureRecognition, #GestureRecognition, #StaticGestureRecognition","#CapacitiveSensor, #OtherTechnology","#OcclusionAvoidance, #OneHandUse, #PortableDesign, #SmallScreen, #UserAdaptation",2018,170
"Ready, Steady, Touch! Sensing  Physical Contact with a Finger-Mounted IMU","#AR, #MediaControl, #Navigation, #SmartHome, #TextInput, #VR","#HapticFeedback, #RealTimeFeedback","#DirectionalGesture, #SingleHand, #Swipe, #Tap, #ThumbIndex","#SmartWatch, #WearableSensor, #Wearables","#BackOfDeviceInteraction, #ContactBased, #DeviceContactGesture, #TangibleInteraction",Hardware,"#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking","#Accelerometer, #Gyroscope, #IMU, #Magnetometer","#HandsFree, #HighAccuracy, #LowLatency, #PortableDesign, #SocialAcceptability, #TouchOptimized",2020,177
"BiTipText- Bimanual Eyes-Free Text Entry on a Fingertip Keyboard ","#AR, #TextInput, #VR","#RealTimeFeedback, #VisualFeedback","#DualHand, #Swipe, #Tap, #ThumbIndex","#SmartGlasses, #SmartWatch, #TouchScreen, #WearableSensor, #Wearables","#ContactBased, #DirectTouch",Hardware,"#FingerTracking, #GestureRecognition, #MotionAnalysis, #StaticGestureRecognition","#CapacitiveSensor, #MotionSensor, #OpticalTracking","#DiscreetInput, #EyesFree, #PortableDesign, #QWERTYLayout, #TouchOptimized, #UserAdaptation",2020,175
DigiTouch- Reconfigurable Thumb-to-Finger Input and Text Entry on Head-mounted Displays,"#AR, #TextInput, #VR","#HapticFeedback, #ProprioceptiveFeedback, #RealTimeFeedback","#Hold, #SingleHand, #Swipe, #Tap, #ThumbIndex","#ARGlasses, #DataGloves, #VRHeadset, #WearableSensor, #Wearables","#ContactBased, #DeviceContactGesture",Hardware,"#FingerTracking, #GestureRecognition","#CapacitiveSensor, #PressureSensor","#DiscreetInput, #EyesFree, #HighAccuracy, #OcclusionAvoidance, #PortableDesign, #QWERTYLayout, #SocialAcceptability, #UserAdaptation",2017,164
Tip-tap- battery-free discrete 2D fingertip input,"#Healthcare, #IndustryApplication, #MediaControl",#HapticFeedback,"#SingleHand, #Tap, #ThumbIndex","#DataGloves, #WearableSensor, #Wearables","#BodyContactGesture, #ContactBased",Hardware,"#FingerTracking, #StaticGestureRecognition","#CapacitiveSensor, #RFSensing","#DiscreetInput, #EyesFree, #HandsFree, #OneHandUse, #PortableDesign, #SocialAcceptability",2019,171
OptiRing: Low-Resolution Optical Sensing for Subtle Thumb-to-Index Input,"#AR, #MediaControl, #Navigation, #SmartHome, #VR","#HapticFeedback, #RealTimeFeedback","#Pinch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#SmartRing, #WearableSensor, #Wearables","#BodyContactGesture, #ContactBased, #TangibleInteraction",Hardware,"#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#ComputerVision, #OpticalTracking, #OtherTechnology","#DiscreetInput, #HighAccuracy, #LowLatency, #OneHandUse, #PortableDesign, #SocialAcceptability",2023,178
ThumbRing- private interactions using one-handed thumb motion input on  finger segments,"#AR, #MediaControl, #Navigation","#HapticFeedback, #VisualFeedback","#SingleHand, #Swipe, #Tap, #ThumbIndex","#ARGlasses, #SmartGlasses, #SmartRing, #Wearables","#BodyContactGesture, #ContactBased, #DirectTouch",Hardware,"#3DPoseEstimation, #GestureRecognition, #MotionAnalysis, #StaticGestureRecognition","#Accelerometer, #Gyroscope, #IMU, #Magnetometer, #MotionSensor","#DiscreetInput, #HighAccuracy, #OneHandUse, #PortableDesign, #SocialAcceptability",2016,160
EarBuddy- Enabling On-Face Interaction via Wireless Earbuds,"#AccessibilitySupport, #MediaControl, #SmartHome","#AudioFeedback, #VisualFeedback","#SingleHand, #Swipe, #Tap","#Smartphone, #WearableSensor, #Wearables","#BodyContactGesture, #ContactBased, #EarBasedInteraction",InteractionSoftware,"#DynamicGestureRecognition, #GestureRecognition, #StaticGestureRecognition","#BioSensor, #OtherTechnology","#DiscreetInput, #EyesFree, #OneHandUse, #PortableDesign, #SocialAcceptability",2020,176
FingerSound- Recognizing unistroke thumb gestures using a ring,"#AR, #MediaControl, #SmartHome, #TextInput, #VR","#AudioFeedback, #HapticFeedback, #RealTimeFeedback","#DirectionalGesture, #SingleHand, #Swipe, #ThumbIndex","#SmartRing, #SmartWatch, #WearableSensor, #Wearables","#ContactBased, #DeviceContactGesture, #MultiModalInteraction",Hardware,"#DynamicGestureRecognition, #GestureRecognition, #MotionAnalysis","#Gyroscope, #MotionSensor, #OtherTechnology","#DiscreetInput, #EyesFree, #HighAccuracy, #MidasTouchProblem, #PortableDesign, #SocialAcceptability",2017,165
Segtouch- Enhancing  touch input while providing touch gestures on screens using thumb-to-indexfinger gestures,"#Gaming, #Navigation, #TextInput","#HapticFeedback, #MultimodalFeedback, #ProprioceptiveFeedback, #VisualFeedback","#SingleHand, #Swipe, #Tap, #ThumbIndex","#Smartphone, #Tablet, #TouchScreen","#ContactBased, #DirectTouch, #MultiModalInteraction",Gesture Design,"#FingerTracking, #GestureRecognition, #MotionAnalysis","#ComputerVision, #OpticalTracking","#EyesFree, #OcclusionAvoidance, #OneHandUse, #SmallScreen, #TouchOptimized",2017,166
"Abracadabra Wireless, High-Precision, and Unpowered Finger Input for Very Small Mobile Devices","#MediaControl, #Navigation, #ObjectManipulation","#RealTimeFeedback, #VisualFeedback","#DirectionalGesture, #Flex, #Hold, #SingleHand, #Tap","#SmartRing, #SmartWatch, #Wearables","#InAirGesture, #NonContactBased, #TangibleInteraction",Hardware,"#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#Magnetometer, #MotionSensor","#HandsFree, #HighAccuracy, #PortableDesign, #SmallScreen",2009,182
QwertyRing- Text Entry on Physical Surfaces  Using a Ring,"#AR, #SmartHome, #TextInput, #VR","#RealTimeFeedback, #VisualFeedback","#Hold, #SingleHand, #Swipe, #Tap","#ARGlasses, #SmartRing, #VRHeadset, #WearableSensor, #Wearables","#ContactBased, #DeviceContactGesture",Hardware,"#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #MotionAnalysis","#Accelerometer, #Gyroscope, #IMU, #MotionSensor","#EyesFree, #OneHandUse, #PortableDesign, #QWERTYLayout, #TouchOptimized, #UserAdaptation",2020,174
DigitSpace Designing Thumb-to-Fingers Touch Interfaces for One-Handed and Eyes-Free Interactions,"#MediaControl, #TextInput","#HapticFeedback, #VisualFeedback","#SingleHand, #Swipe, #Tap, #ThumbIndex","#SmartWatch, #WearableSensor, #Wearables","#BodyContactGesture, #ContactBased, #DirectTouch",Gesture Design,"#DynamicGestureRecognition, #GestureRecognition, #StaticGestureRecognition","#OpticalTracking, #OtherTechnology","#ElicitationStudy, #EyesFree, #HighAccuracy, #OneHandUse, #PortableDesign, #UserAdaptation",2016,159
CyclopsRing- Enabling Whole-Hand and  Context-Aware Interactions Through a Fisheye Ring,"#AR, #Gaming, #IoTControl, #SmartHome, #VR","#HapticFeedback, #VisualFeedback","#DirectionalGesture, #Pinch, #SingleHand, #Swipe","#OtherDevices, #SmartRing, #WearableSensor, #Wearables","#BodyContactGesture, #ContactBased, #InAirGesture, #NonContactBased",Hardware,"#DynamicGestureRecognition, #GestureRecognition, #HandTracking, #StaticGestureRecognition","#ComputerVision, #OpticalTracking","#DiscreetInput, #HandsFree, #OneHandUse, #PortableDesign, #QWERTYLayout",2015,157
Fingert9- Leveraging  thumb-to-finger interaction for same-side-hand text entry on smartwatches,#TextInput,"#HapticFeedback, #RealTimeFeedback, #VisualFeedback","#Hold, #SingleHand, #Tap, #ThumbIndex","#SmartWatch, #TouchScreen, #WearableSensor, #Wearables","#BodyContactGesture, #ContactBased, #DirectTouch",Gesture Design,"#FingerTracking, #GestureRecognition, #StaticGestureRecognition","#CapacitiveSensor, #PressureSensor","#ElicitationStudy, #EyesFree, #OcclusionAvoidance, #OneHandUse, #SmallScreen, #UserAdaptation",2018,169
Soli- Ubiquitous Gesture Sensing with Millimeter Wave Radar,"#Gaming, #IoTControl, #MediaControl, #Navigation, #SmartHome, #VR","#HapticFeedback, #RealTimeFeedback, #VisualFeedback","#Pinch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#OtherDevices, #SmartWatch, #VRHeadset, #Wearables","#InAirGesture, #NonContactBased, #TangibleInteraction",Hardware,"#3DPoseEstimation, #ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition","#MotionSensor, #RFSensing, #RadarSensing","#HandsFree, #HighAccuracy, #LowLatency, #OcclusionAvoidance, #PortableDesign, #SocialAcceptability",2016,162
Interacting with Soli- Exploring Fine-Grained Dynamic  Gesture Recognition in the Radio-Frequency Spectrum,"#IoTControl, #MediaControl, #Navigation","#RealTimeFeedback, #VisualFeedback","#DirectionalGesture, #Pinch, #SingleHand, #Swipe, #Tap","#OtherDevices, #Wearables","#InAirGesture, #NonContactBased",InteractionSoftware,"#ContinuousRecognition, #DynamicGestureRecognition, #GestureRecognition, #MotionAnalysis","#RFSensing, #RadarSensing","#HandsFree, #HighAccuracy, #LowLatency, #OcclusionAvoidance",2016,161
"Transferable Microgestures Across Hand Posture and Location Constraints: Leveraging the Middle, Ring, and Pinky Fingers","#AR, #DigitalArt, #MediaControl, #VR","#HapticFeedback, #VisualFeedback","#Flex, #Grasp/GripBased, #SingleHand, #Swipe","#OtherDevices, #Smartphone","#BodyContactGesture, #ContactBased, #InAirGesture",Gesture Design,"#FingerTracking, #GestureRecognition, #MotionAnalysis","#MotionSensor, #OpticalTracking","#ElicitationStudy, #EncumberedInteraction, #OneHandUse, #SocialAcceptability, #UserAdaptation",2023,179
PinchWatch: A Wearable Device for One-Handed Microinteractions,"#AthleticActivity, #MediaControl, #Navigation","#HapticFeedback, #VisualFeedback","#DirectionalGesture, #Hold, #Pinch, #SingleHand, #Swipe, #Tap","#SmartWatch, #WearableSensor, #Wearables","#BodyContactGesture, #ContactBased",Hardware,"#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking, #StaticGestureRecognition","#ComputerVision, #DepthSensing, #OpticalTracking","#DiscreetInput, #EyesFree, #HandsFree, #OneHandUse, #PortableDesign",2010,181
A Taxonomy of Microinteractions Defining Microgestures based on Ergonomic and Scenario-dependent Requirements,"#InVehicleInteraction, #MediaControl, #Navigation","#HapticFeedback, #MultimodalFeedback","#Grasp/GripBased, #Pinch, #SingleHand, #Tap","#WearableSensor, #Wearables","#ContactBased, #MultiModalInteraction",Gesture Design,"#FingerTracking, #GestureRecognition","#Accelerometer, #DepthSensing, #EMG, #PressureSensor","#ElicitationStudy, #EncumberedInteraction, #EyesFree, #OneHandUse",2011,190
Design of 3D Microgestures for Commands in Virtual Reality or Augmented Reality,"#AR, #Gaming, #MediaControl, #Navigation, #ObjectManipulation, #VR","#HapticFeedback, #VisualFeedback","#DirectionalGesture, #Grasp/GripBased, #Pinch, #SingleHand, #Swipe, #Tap","#ARGlasses, #TouchScreen, #VRHeadset","#InAirGesture, #MultiModalInteraction, #NonContactBased",Gesture Design,"#3DPoseEstimation, #FingerTracking, #GestureRecognition, #HandTracking","#ComputerVision, #MotionSensor","#HandsFree, #HighAccuracy, #LowLatency, #SocialAcceptability, #UserAdaptation",2023,180
Digits Freehand 3D Interactions Anywhere Using a Wrist-Worn Gloveless Sensor,"#AR, #Gaming, #MR, #ObjectManipulation, #VR","#RealTimeFeedback, #VisualFeedback","#Flex, #Grasp/GripBased, #Pinch, #SingleHand","#SmartWatch, #WearableSensor, #Wearables","#InAirGesture, #NonContactBased",Hardware,"#3DPoseEstimation, #ContinuousRecognition, #FingerTracking, #HandTracking","#ComputerVision, #IMU, #OpticalTracking","#EyesFree, #HandsFree, #HighAccuracy, #LowLatency, #PortableDesign",2012,183
zSense Enabling Shallow Depth Gesture Recognition for Greater Input Expressivity on Smart Wearables,"#MediaControl, #Navigation",#RealTimeFeedback,"#DirectionalGesture, #Pinch, #SingleHand, #Swipe, #Tap","#SmartGlasses, #SmartRing, #SmartWatch, #WearableSensor, #Wearables","#InAirGesture, #NonContactBased",Hardware,"#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#DepthSensing, #OtherTechnology","#DiscreetInput, #EyesFree, #HandsFree, #HighAccuracy, #LowLatency, #OneHandUse, #PortableDesign, #SmallScreen",2015,186
"iSkin: Flexible, Stretchable and Visually Customizable On-Body Touch Sensors for Mobile Computing","#MediaControl, #Navigation, #TextInput","#HapticFeedback, #RealTimeFeedback, #VisualFeedback","#MultiTouch, #Pinch, #SingleHand, #Swipe, #Tap","#SmartGlasses, #SmartRing, #SmartWatch, #WearableSensor, #Wearables","#BodyContactGesture, #ContactBased, #DirectTouch",Hardware,"#FingerTracking, #GestureRecognition, #StaticGestureRecognition","#CapacitiveSensor, #OtherTechnology, #PressureSensor","#DiscreetInput, #EyesFree, #HighAccuracy, #OneHandUse, #PortableDesign, #SocialAcceptability",2015,187
TIMMi Finger-worn Textile Input Device with Multimodal Sensing in Mobile Interaction,"#MediaControl, #OtherScenarios","#HapticFeedback, #RealTimeFeedback","#Flex, #SingleHand, #Swipe, #Tap, #ThumbIndex","#Etextile, #SmartRing, #WearableSensor, #Wearables","#ContactBased, #DeviceContactGesture, #MultiModalInteraction",Hardware,"#ContinuousRecognition, #FingerTracking, #GestureRecognition","#OtherTechnology, #PressureSensor","#DiscreetInput, #EyesFree, #OneHandUse, #PortableDesign, #SocialAcceptability",2015,184
