Title,Application Scenarios,Feedback & Output,Gesture Types,Hardware Devices,Interaction Modalities,Overview,Recognition & Classification,Sensing Technology,User Experience & Design Factors,Year,序号
STMG A Machine Learning Microgesture Recognition System for Supporting Thumb-Based VR AR Input,"#AR, #MediaControl, #Navigation, #ObjectManipulation, #VR","#RealTimeFeedback, #VisualFeedback","#DirectionalGesture, #Pinch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#ARGlasses, #VRHeadset","#BodyContactGesture, #ContactBased, #MultiModalInteraction",InteractionSoftware,"#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking","#ComputerVision, #MotionSensor, #OpticalTracking","#EyesFree, #HandsFree, #HighAccuracy, #LowLatency, #OneHandUse, #UserAdaptation",2024,70
Press-n-Paste: Copy-and-Paste Operations with Pressure-sensitive Caret Navigation for MiniaturizedSurface in Mobile Augmented Reality,"#TextInput, #VR","#RealTimeFeedback, #VisualFeedback","#Hold, #SingleHand, #Swipe, #Tap","#ARGlasses, #SmartGlasses, #Smartphone, #TouchScreen, #Wearables","#ContactBased, #MultiModalInteraction",InteractionSoftware,#GestureRecognition,"#ComputerVision, #PressureSensor","#FatFingerProblem, #OneHandUse, #PortableDesign, #SmallScreen, #TouchOptimized",2021,63
Depth aware finger tapping on virtual displays,"#AR, #MediaControl, #TextInput, #VR","#AudioFeedback, #MultimodalFeedback, #RealTimeFeedback, #VisualFeedback","#DirectionalGesture, #SingleHand, #Tap","#ARGlasses, #Smartphone, #VRHeadset","#InAirGesture, #MultiModalInteraction, #NonContactBased",InteractionSoftware,"#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking, #MotionAnalysis","#ComputerVision, #DepthSensing, #UltrasonicSensor","#HandsFree, #HighAccuracy, #LowLatency",2018,58
Key-press gestures recognition and interaction based on SEMG signals,"#MediaControl, #TextInput","#RealTimeFeedback, #VisualFeedback","#Flex, #Hold, #SingleHand","#Smartphone, #WearableSensor, #Wearables","#BodyContactGesture, #ContactBased, #MultiModalInteraction",Gesture Design,"#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#BioSensor, #EMG","#DiscreetInput, #EncumberedInteraction, #EyesFree, #HandsFree, #HighAccuracy, #OneHandUse, #PortableDesign, #SocialAcceptability",2010,74
Exploring mixed-scale gesture interaction,"#AR, #MediaControl, #ObjectManipulation","#RealTimeFeedback, #VisualFeedback","#DirectionalGesture, #DualHand, #Grasp/GripBased, #SingleHand","#ARGlasses, #WearableSensor","#InAirGesture, #MultiModalInteraction, #NonContactBased",Gesture Design,"#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking, #StaticGestureRecognition","#ComputerVision, #OpticalTracking, #RadarSensing","#HighAccuracy, #SocialAcceptability",2017,57
GraspUI Seamlessly Integrating Object-Centric Gestures within the Seven Phases of Grasping,"#AR, #MediaControl, #ObjectManipulation, #SmartHome","#RealTimeFeedback, #VisualFeedback","#Grasp/GripBased, #Hold, #SingleHand, #Swipe, #Tap","#ARGlasses, #SmartGlasses, #Wearables","#ContactBased, #InAirGesture, #MultiModalInteraction, #TangibleInteraction",InteractionSoftware,"#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking, #StaticGestureRecognition","#ComputerVision, #MotionSensor, #OpticalTracking","#HandsFree, #SocialAcceptability, #UserAdaptation",2024,68
Fingers' range and comfortable area for one-handed smartphone interaction beyond the touchscreen,"#MediaControl, #Navigation",#VisualFeedback,"#SingleHand, #Swipe, #Tap, #ThumbIndex","#Smartphone, #TouchScreen","#BackOfDeviceInteraction, #ContactBased, #DirectTouch",Gesture Design,"#FingerTracking, #GestureRecognition, #MotionAnalysis",#OpticalTracking,"#ElicitationStudy, #FatFingerProblem, #OcclusionAvoidance, #OneHandUse, #PortableDesign, #TouchOptimized",2018,58
Understanding grip shifts how form factors impact hand movements on mobile phones,"#Navigation, #TextInput",#VisualFeedback,"#DualHand, #Hold, #SingleHand, #Tap, #ThumbIndex","#Smartphone, #TouchScreen","#ContactBased, #DirectTouch",Gesture Design,"#GestureRecognition, #MotionAnalysis","#Accelerometer, #Gyroscope, #MotionSensor","#OneHandUse, #PortableDesign, #SmallScreen, #TouchOptimized",2017,89
Shortcut gestures for mobile text editing on fully touch sensitive smartphones,"#AccessibilitySupport, #OtherScenarios, #TextInput","#RealTimeFeedback, #VisualFeedback","#DirectionalGesture, #Hold, #MultiTouch, #SingleHand, #Swipe, #Tap","#Smartphone, #TouchScreen, #Wearables","#BackOfDeviceInteraction, #ContactBased, #DeviceContactGesture, #MultiModalInteraction",Gesture Design,"#ContinuousRecognition, #DynamicGestureRecognition, #GestureRecognition",#CapacitiveSensor,"#FatFingerProblem, #HighAccuracy, #OcclusionAvoidance, #OneHandUse, #UserAdaptation",2020,101
Unimanual Pen Touch Input Using Variations of Precision Grip Postures,"#DigitalArt, #Education, #ObjectManipulation, #TextInput","#RealTimeFeedback, #VisualFeedback","#Grasp/GripBased, #MultiTouch, #SingleHand","#Tablet, #TouchScreen","#ContactBased, #MultiModalInteraction, #PenInput",Gesture Design,"#GestureRecognition, #HandTracking, #StaticGestureRecognition",#CapacitiveSensor,"#ElicitationStudy, #HighAccuracy, #OneHandUse, #UserAdaptation",2018,61
Enabling voice-accompanying hand-to-face gesture recognition with cross-device sensing,"#AR, #IoTControl, #SmartHome","#AudioFeedback, #RealTimeFeedback",#SingleHand,"#SmartRing, #SmartWatch, #WearableSensor, #Wearables","#BodyContactGesture, #EarBasedInteraction, #MultiModalInteraction, #VoiceGestureCombined",Gesture Design,"#GestureRecognition, #StaticGestureRecognition","#Accelerometer, #Gyroscope, #IMU, #UltrasonicSensor","#ElicitationStudy, #HandsFree, #LowLatency, #SocialAcceptability",2023,71
Investigating unintended inputs for one-handed touch interaction beyond the touchscreen,#OtherScenarios,"#RealTimeFeedback, #VisualFeedback","#Grasp/GripBased, #SingleHand","#Smartphone, #Wearables","#BackOfDeviceInteraction, #ContactBased, #DeviceContactGesture",Gesture Design,"#FingerTracking, #MotionAnalysis, #StaticGestureRecognition","#CapacitiveSensor, #MotionSensor, #OpticalTracking","#ElicitationStudy, #EncumberedInteraction, #FatFingerProblem, #OcclusionAvoidance, #OneHandUse, #SocialAcceptability, #UserAdaptation",2019,63
PinchPad performance of touch-based gestures while grasping devices,#MediaControl,"#HapticFeedback, #ProprioceptiveFeedback","#Grasp/GripBased, #Pinch, #Swipe, #Tap",#Tablet,"#BackOfDeviceInteraction, #ContactBased, #DeviceContactGesture, #DirectTouch",Gesture Design,"#FingerTracking, #GestureRecognition, #MotionAnalysis",#CapacitiveSensor,"#EyesFree, #OcclusionAvoidance, #OneHandUse",2012,76
Investigating how the hand interacts with different mobile phones,"#MediaControl, #TextInput",#VisualFeedback,"#DualHand, #Grasp/GripBased, #Hold, #SingleHand","#Keyboard, #Smartphone, #TouchScreen","#ContactBased, #DeviceContactGesture, #DirectTouch",Gesture Design,#MotionAnalysis,#ComputerVision,"#ElicitationStudy, #OneHandUse, #TouchOptimized",2016,56
Exploring pinch and spread gestures on mobile devices,#MediaControl,#VisualFeedback,"#DualHand, #MultiTouch, #Pinch, #ThumbIndex","#Smartphone, #Tablet","#DirectTouch, #MultiModalInteraction",Gesture Design,"#GestureRecognition, #MotionAnalysis",#CapacitiveSensor,"#HighAccuracy, #SmallScreen, #TouchOptimized",2013,78
Characterizing finger pitch and roll orientation during atomic touch actions,#ObjectManipulation,#VisualFeedback,"#DualHand, #Hold, #MultiTouch, #Pinch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#Tablet, #TouchScreen","#ContactBased, #DirectTouch",Gesture Design,"#FingerTracking, #GestureRecognition, #MotionAnalysis","#Accelerometer, #Gyroscope, #IMU, #Magnetometer","#ElicitationStudy, #TouchOptimized",2018,57
WiFinger talk to your smart devices with finger-grained gesture,"#SmartHome, #TextInput",#VisualFeedback,"#SignLanguageRelated, #SingleHand","#OtherDevices, #Smartphone","#InAirGesture, #NonContactBased",InteractionSoftware,"#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #MotionAnalysis",#RFSensing,"#DiscreetInput, #HandsFree, #HighAccuracy",2016,87
A User-based Mid-air Hand Gesture Set for Spreadsheets,#OtherScenarios,"#RealTimeFeedback, #VisualFeedback","#Pinch, #SingleHand, #Swipe","#OtherDevices, #VRHeadset","#InAirGesture, #NonContactBased",Gesture Design,"#DynamicGestureRecognition, #GestureRecognition","#ComputerVision, #MotionSensor, #OpticalTracking",#ElicitationStudy,2021,68
" Finger-aware shortcuts",#TextInput,#VisualFeedback,"#DualHand, #Hold, #SingleHand",#Keyboard,#DeviceContactGesture,InteractionSoftware,"#FingerTracking, #GestureRecognition, #HandTracking, #StaticGestureRecognition",#ComputerVision,"#HighAccuracy, #QWERTYLayout, #UserAdaptation",2016,84
iFAD Gestures Understanding Users’ Gesture Input Performance with Index-Finger Augmentation Devices,"#MediaControl, #SmartHome, #TextInput",#VisualFeedback,"#DirectionalGesture, #Pinch, #SingleHand, #Swipe, #Tap, #ThumbIndex","#SmartRing, #WearableSensor, #Wearables","#BodyContactGesture, #ContactBased, #DeviceContactGesture, #InAirGesture, #NonContactBased",InteractionSoftware,"#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#Accelerometer, #IMU, #MotionSensor","#DiscreetInput, #EyesFree, #HandsFree, #OneHandUse, #PortableDesign, #SocialAcceptability, #UserAdaptation",2023,109
Exploring non-touchscreen gestures for smartwatches,"#MediaControl, #Navigation","#HapticFeedback, #VisualFeedback","#DirectionalGesture, #Pinch, #SingleHand, #Swipe, #Tap","#SmartWatch, #Wearables","#DeviceContactGesture, #InAirGesture, #MultiModalInteraction",Gesture Design,"#FingerTracking, #GestureRecognition, #HandTracking","#MotionSensor, #OpticalTracking","#DiscreetInput, #ElicitationStudy, #FatFingerProblem, #OcclusionAvoidance, #SmallScreen, #SocialAcceptability",2016,55
PenSight enhanced interaction with a pen-top camera,"#DigitalArt, #Education, #Navigation, #ObjectManipulation, #TextInput","#RealTimeFeedback, #VisualFeedback","#DualHand, #Grasp/GripBased","#OtherDevices, #Tablet","#ContactBased, #MultiModalInteraction, #NonContactBased, #PenInput, #TangibleInteraction",Gesture Design,"#3DPoseEstimation, #FingerTracking, #GestureRecognition, #HandTracking, #StaticGestureRecognition","#ComputerVision, #DepthSensing, #OpticalTracking","#ElicitationStudy, #EncumberedInteraction, #HighAccuracy, #LowLatency, #OcclusionAvoidance, #PortableDesign",2020,65
IndexPen Two Finger Text Input with Millimeter Wave Radar,"#AR, #AccessibilitySupport, #IoTControl, #SmartHome, #TextInput, #VR","#RealTimeFeedback, #VisualFeedback","#SingleHand, #Tap, #ThumbIndex","#OtherDevices, #Smartphone, #WearableSensor","#InAirGesture, #NonContactBased",InteractionSoftware,"#ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition","#MotionSensor, #RFSensing, #RadarSensing","#EyesFree, #HandsFree, #HighAccuracy, #LowLatency, #SocialAcceptability, #UserAdaptation",2022,107
Gaze-assisted typing for smart glasses,"#AccessibilitySupport, #TextInput","#AudioFeedback, #RealTimeFeedback, #VisualFeedback","#DirectionalGesture, #SingleHand, #Swipe, #Tap","#SmartGlasses, #VRHeadset, #Wearables","#ContactBased, #DeviceContactGesture, #GazeBased, #MultiModalInteraction",Gesture Design,"#DynamicGestureRecognition, #GestureRecognition, #StaticGestureRecognition","#CapacitiveSensor, #OpticalTracking","#ElicitationStudy, #EyesFree, #LowLatency, #MidasTouchProblem, #OneHandUse, #UserAdaptation",2019,62
Pen + mid-air gestures eliciting contextual gestures,"#DigitalArt, #Education, #MediaControl, #ObjectManipulation","#RealTimeFeedback, #VisualFeedback","#DirectionalGesture, #DualHand, #Grasp/GripBased, #Pinch, #Swipe","#Tablet, #TouchScreen","#InAirGesture, #MultiModalInteraction, #NonContactBased, #PenInput",Gesture Design,"#DynamicGestureRecognition, #GestureRecognition, #HandTracking","#ComputerVision, #MotionSensor, #OpticalTracking","#ElicitationStudy, #EncumberedInteraction, #UserAdaptation",2018,60
Expanding Side Touch Input on Mobile Phones,"#AccessibilitySupport, #MediaControl, #Navigation, #TextInput","#HapticFeedback, #VisualFeedback","#DirectionalGesture, #SingleHand, #Swipe, #Tap, #ThumbIndex","#Smartphone, #TouchScreen","#BackOfDeviceInteraction, #ContactBased, #DirectTouch",Gesture Design,"#DynamicGestureRecognition, #FingerTracking, #GestureRecognition","#CapacitiveSensor, #MotionSensor, #OpticalTracking","#ElicitationStudy, #FatFingerProblem, #HighAccuracy, #OcclusionAvoidance, #OneHandUse, #PortableDesign",2020,64
Leap gestures for TV insights from an elicitation study,#MediaControl,#VisualFeedback,"#Flex, #Hold, #SingleHand",#OtherDevices,"#InAirGesture, #NonContactBased",Gesture Design,"#3DPoseEstimation, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking, #StaticGestureRecognition","#MotionSensor, #OpticalTracking","#ElicitationStudy, #HandsFree, #SocialAcceptability, #UserAdaptation",2014,54
The fat thumb using the thumb's contact size for single-handed mobile interaction,"#MediaControl, #Navigation","#HapticFeedback, #VisualFeedback","#SingleHand, #ThumbIndex",#Smartphone,"#ContactBased, #DirectTouch",Gesture Design,"#FingerTracking, #GestureRecognition","#CapacitiveSensor, #PressureSensor","#FatFingerProblem, #OneHandUse, #SmallScreen, #TouchOptimized",2012,77
3D hand pose estimation on conventional capacitive touchscreens,"#AR, #DigitalArt, #Gaming, #ObjectManipulation, #Training, #VR","#RealTimeFeedback, #VisualFeedback","#DualHand, #Grasp/GripBased, #MultiTouch, #SingleHand","#Tablet, #TouchScreen","#ContactBased, #DeviceContactGesture, #MultiModalInteraction",Gesture Design,"#3DPoseEstimation, #ContinuousRecognition, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking",#CapacitiveSensor,"#ElicitationStudy, #FatFingerProblem, #HighAccuracy, #LowLatency, #OcclusionAvoidance, #UserAdaptation",2021,67
Interacting with soli exploring fine-grained dynamic gesture recognition in the radio-frequency spectrum,"#MediaControl, #ObjectManipulation, #SmartHome",#VisualFeedback,"#DirectionalGesture, #Pinch, #SingleHand, #Swipe, #Tap","#OtherDevices, #WearableSensor, #Wearables","#InAirGesture, #NonContactBased",Hardware,"#ContinuousRecognition, #DynamicGestureRecognition, #GestureRecognition, #MotionAnalysis","#RFSensing, #RadarSensing","#DiscreetInput, #EyesFree, #HandsFree, #HighAccuracy, #LowLatency, #OcclusionAvoidance, #PortableDesign",2016,85
Interaction proxemics combining physical spaces for seamless gesture interaction,"#Navigation, #ObjectManipulation, #TextInput","#AudioFeedback, #VisualFeedback","#DirectionalGesture, #DualHand, #Pinch, #SingleHand, #Swipe, #Tap","#OtherDevices, #TouchScreen","#DirectTouch, #InAirGesture, #MultiModalInteraction",Gesture Design,"#FingerTracking, #GestureRecognition, #HandTracking","#DepthSensing, #MotionSensor, #OpticalTracking",#UserAdaptation,2015,82
Watching your phone's back gesture recognition by sensing acoustical structure-borne propagation,"#AccessibilitySupport, #IoTControl, #OtherScenarios","#AudioFeedback, #MultimodalFeedback","#DirectionalGesture, #SingleHand, #Swipe, #Tap","#OtherDevices, #Smartphone, #WearableSensor","#BackOfDeviceInteraction, #DeviceContactGesture, #NonContactBased",InteractionSoftware,"#ContinuousRecognition, #DynamicGestureRecognition, #GestureRecognition","#MotionSensor, #OtherTechnology, #UltrasonicSensor","#DiscreetInput, #HighAccuracy, #LowLatency, #OcclusionAvoidance, #PortableDesign, #UserAdaptation",2021,104
InfiniTouch finger-aware interaction on fully touch sensitive smartphones,"#AccessibilitySupport, #MediaControl, #ObjectManipulation, #TextInput","#RealTimeFeedback, #VisualFeedback","#Flex, #Pinch, #SingleHand, #Swipe, #ThumbIndex","#Smartphone, #TouchScreen, #WearableSensor","#BackOfDeviceInteraction, #ContactBased, #DirectTouch, #MultiModalInteraction",Hardware,"#3DPoseEstimation, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#CapacitiveSensor, #MotionSensor, #OpticalTracking","#ElicitationStudy, #FatFingerProblem, #HighAccuracy, #LowLatency, #OneHandUse",2018,59
"TouchPose hand pose prediction, depth estimation, and touch classification from capacitive images","#AR, #DigitalArt, #ObjectManipulation, #TextInput, #VR","#RealTimeFeedback, #VisualFeedback","#Grasp/GripBased, #MultiTouch, #SingleHand","#Smartphone, #Tablet, #TouchScreen, #WearableSensor","#ContactBased, #DirectTouch, #MultiModalInteraction, #TangibleInteraction",InteractionSoftware,"#3DPoseEstimation, #DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #HandTracking, #StaticGestureRecognition","#CapacitiveSensor, #ComputerVision, #DepthSensing, #OpticalTracking","#HighAccuracy, #LowLatency, #OcclusionAvoidance, #TouchOptimized, #UserAdaptation",2021,103
MagTouch robust finger identification for a smartwatch using a magnet ring and a built-in magnetometer,"#MediaControl, #TextInput","#RealTimeFeedback, #VisualFeedback","#SingleHand, #Tap","#SmartRing, #SmartWatch, #Wearables","#ContactBased, #DirectTouch, #TangibleInteraction",Gesture Design,"#FingerTracking, #GestureRecognition, #StaticGestureRecognition","#IMU, #Magnetometer, #MotionSensor","#HighAccuracy, #LowLatency, #OneHandUse, #PortableDesign, #SocialAcceptability",2020,99
The intuitive grasp interface design and evaluation of microgestures on the steering wheel for driving scenario,"#InVehicleInteraction, #MediaControl, #Navigation","#AudioFeedback, #MultimodalFeedback, #VisualFeedback","#Grasp/GripBased, #Pinch, #SingleHand, #Swipe, #Tap","#DrivingSimulator, #OtherDevices","#ContactBased, #DeviceContactGesture, #MultiModalInteraction",Gesture Design,"#DynamicGestureRecognition, #FingerTracking, #GestureRecognition, #StaticGestureRecognition","#ComputerVision, #OtherTechnology","#DiscreetInput, #EncumberedInteraction, #EyesFree, #HandsFree, #HighAccuracy, #LowLatency, #OneHandUse, #SocialAcceptability",2020,118
A study of on-device gestures,"#MediaControl, #Navigation, #OtherScenarios",#ProprioceptiveFeedback,"#Grasp/GripBased, #SingleHand, #Swipe",#Smartphone,"#BackOfDeviceInteraction, #ContactBased, #DeviceContactGesture",Gesture Design,"#GestureRecognition, #MotionAnalysis",#PressureSensor,"#EncumberedInteraction, #OcclusionAvoidance, #OneHandUse",2012,75
Tactile feedback for above-device gesture interfaces adding touch to touchless interactions,#MediaControl,"#HapticFeedback, #MultimodalFeedback, #VisualFeedback",#SingleHand,"#HapticDevice, #SmartRing, #SmartWatch, #Smartphone, #Wearables","#InAirGesture, #MultiModalInteraction, #NonContactBased",InteractionSoftware,"#FingerTracking, #GestureRecognition, #HandTracking","#OpticalTracking, #UltrasonicSensor","#HandsFree, #SmallScreen, #TouchOptimized",2014,80
Leveraging the properties of mmWave signals for 3D finger motion tracking for interactive IoT applications,"#AR, #AccessibilitySupport, #Healthcare, #IoTControl, #SmartHome, #VR",#RealTimeFeedback,"#Flex, #SignLanguageRelated, #SingleHand","#OtherDevices, #Smartphone, #WearableSensor","#InAirGesture, #NonContactBased",InteractionSoftware,"#3DPoseEstimation, #ContinuousRecognition, #FingerTracking, #HandTracking","#MotionSensor, #RFSensing, #RadarSensing","#EyesFree, #HandsFree, #HighAccuracy, #LowLatency, #UserAdaptation",2022,106
TouchNoise a new multitouch interface for creative work with noise,"#DigitalArt, #MediaControl","#AudioFeedback, #MultimodalFeedback, #RealTimeFeedback, #VisualFeedback","#DualHand, #Hold, #MultiTouch, #Swipe, #Tap","#Tablet, #TouchScreen","#ContactBased, #DirectTouch, #MultiModalInteraction",InteractionSoftware,"#ContinuousRecognition, #GestureRecognition",#CapacitiveSensor,"#HighAccuracy, #LowLatency, #UserAdaptation",2015,114
Arpège learning multitouch chord gestures vocabularies,"#Education, #OtherScenarios, #TextInput, #Training","#RealTimeFeedback, #VisualFeedback","#DualHand, #MultiTouch, #SingleHand","#OtherDevices, #Tablet, #TouchScreen","#ContactBased, #DirectTouch, #MultiModalInteraction",Gesture Design,"#FingerTracking, #GestureRecognition, #HandTracking, #StaticGestureRecognition",#CapacitiveSensor,"#ElicitationStudy, #TouchOptimized, #UserAdaptation",2013,53
"AnyButton unpowered, modeless and highly available mobile input using unmodified clothing buttons","#MediaControl, #OtherScenarios",#HapticFeedback,"#DirectionalGesture, #Pinch, #SingleHand, #Tap, #ThumbIndex","#WearableSensor, #Wearables","#ContactBased, #DeviceContactGesture, #TangibleInteraction",Hardware,"#3DPoseEstimation, #GestureRecognition, #HandTracking, #MotionAnalysis","#Accelerometer, #Gyroscope, #IMU, #MotionSensor","#DiscreetInput, #HandsFree, #PortableDesign, #SocialAcceptability",2014,124
Opportunistic synergy a classifier fusion engine for micro-gesture recognition,#InVehicleInteraction,#RealTimeFeedback,"#Grasp/GripBased, #Hold, #SingleHand, #Tap","#DrivingSimulator, #WearableSensor, #Wearables","#ContactBased, #DeviceContactGesture, #MultiModalInteraction, #TangibleInteraction",InteractionSoftware,"#ContinuousRecognition, #GestureRecognition, #StaticGestureRecognition","#BioSensor, #EMG, #PressureSensor","#DiscreetInput, #EyesFree, #HandsFree, #HighAccuracy, #LowLatency, #OneHandUse, #SocialAcceptability, #UserAdaptation",2013,113
Transferable Microgestures Across Hand Posture and Location Constraints Leveraging the Middle Ring and Pinky Fingers,"#AR, #MediaControl, #Navigation, #ObjectManipulation, #OtherScenarios",#RealTimeFeedback,"#Flex, #SingleHand, #Swipe, #Tap","#OtherDevices, #Smartphone","#BodyContactGesture, #ContactBased",Gesture Design,"#FingerTracking, #GestureRecognition, #MotionAnalysis",#OpticalTracking,"#DiscreetInput, #ElicitationStudy, #EncumberedInteraction, #OneHandUse",2023,72
Persistent assistant seamless everyday AI interactions via intent grounding and multimodal feedback,"#AR, #Navigation, #SmartHome","#AudioFeedback, #HapticFeedback, #MultimodalFeedback, #RealTimeFeedback","#Pinch, #SingleHand","#ARGlasses, #HapticDevice, #SmartGlasses, #Wearables","#GazeBased, #InAirGesture, #MultiModalInteraction, #NonContactBased, #VoiceGestureCombined",InteractionSoftware,"#GestureRecognition, #HandTracking","#ComputerVision, #OpticalTracking","#DiscreetInput, #EyesFree, #OneHandUse, #SocialAcceptability, #UserAdaptation",2025,110
